DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],5515039301 [355120],NDC,BOTH,1,EA ,539.18,452.91
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],5957210201 [183549],NDC,BOTH,1,EA ,2121.26,1781.86
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],6332377139 [293085],NDC,BOTH,1,EA ,633.94,532.51
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],6467909601 [293191],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],6467909602 [293192],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],6745725430 [286816],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG INJ SOLR FOR INTRAVENOUS USE [408001],7248520101 [310433],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],0143960601 [332386],NDC,BOTH,1,EA ,539.18,452.91
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],0781325394 [238860],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],4359830562 [241288],NDC,BOTH,1,EA ,890.66,748.16
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],4359846562 [279371],NDC,BOTH,1,EA ,787.5,661.5
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],4359867811 [301052],NDC,BOTH,1,EA ,1715.44,1440.97
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],5199179798 [298346],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],5515039301 [355120],NDC,BOTH,1,EA ,539.18,452.91
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],5957210201 [183549],NDC,BOTH,1,EA ,2121.26,1781.86
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],6332377139 [293085],NDC,BOTH,1,EA ,633.94,532.51
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],6467909601 [293191],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],6467909602 [293192],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],6745725430 [286816],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420],7248520101 [310433],NDC,BOTH,1,EA ,1873.46,1573.71
AZACITIDINE 200 MG TABLET [186465],5957273014 [331341],NDC,BOTH,1,EA ,4423.39,3715.65
AZACITIDINE 300 MG TABLET [186464],5957274007 [335704],NDC,BOTH,1,EA ,5308.28,4458.95
AZACITIDINE 300 MG TABLET [186464],5957274014 [331342],NDC,BOTH,1,EA ,5308.28,4458.95
AZATHIOPRINE 100 MG SOLUTION FOR INJECTION [767],0143956601 [287267],NDC,BOTH,1,EA ,1031.1,866.12
AZATHIOPRINE 100 MG SOLUTION FOR INJECTION [767],0143956601 [287267],NDC,BOTH,1,ME,1031.1,866.12
AZATHIOPRINE 50 MG TABLET [9183],5107962001 [199059],NDC,BOTH,1,EA ,15.49,13.01
AZATHIOPRINE 50 MG TABLET [9183],5107962006 [199060],NDC,BOTH,1,EA ,15.49,13.01
AZATHIOPRINE 50 MG TABLET [9183],6808422901 [161715],NDC,BOTH,1,EA ,5.51,4.63
AZATHIOPRINE 50 MG TABLET [9183],6808422911 [161716],NDC,BOTH,1,EA ,5.51,4.63
AZATHIOPRINE 50 MG TABLET [9183],6846250201 [185075],NDC,BOTH,1,EA ,44.36,37.26
AZELASTINE 137 MCG (0.1 %) NASAL SPRAY AEROSOL [19179],5965121430 [331344],NDC,BOTH,30,ML,415.54,349.05
AZELASTINE 137 MCG (0.1 %) NASAL SPRAY AEROSOL [19179],6050508335 [199986],NDC,BOTH,30,ML,415.54,349.05
AZITHROMYCIN 1 % EYE DROPS [81880],1747830703 [254394],NDC,BOTH,2.5,ML,918.49,771.53
AZITHROMYCIN 200 MG/5 ML ORAL SUSPENSION [15797],4280614932 [303004],NDC,BOTH,15,ML,182.44,153.25
AZITHROMYCIN 200 MG/5 ML ORAL SUSPENSION [15797],5976231201 [135956],NDC,BOTH,15,ML,182.44,153.25
AZITHROMYCIN 200 MG/5 ML ORAL SUSPENSION [15797],5976231401 [135958],NDC,BOTH,30,ML,182.44,153.25
AZITHROMYCIN 250 MG TABLET [20943],0904670806 [314867],NDC,BOTH,1,EA ,9.71,8.16
AZITHROMYCIN 250 MG TABLET [20943],0904670861 [314868],NDC,BOTH,1,EA ,16.54,13.89
AZITHROMYCIN 250 MG TABLET [20943],4229108230 [345683],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 250 MG TABLET [20943],5011178710 [297553],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 250 MG TABLET [20943],5011178766 [127775],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 250 MG TABLET [20943],5026809815 [198904],NDC,BOTH,1,EA ,48.04,40.35
AZITHROMYCIN 250 MG TABLET [20943],5976230602 [129005],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 250 MG TABLET [20943],5976230603 [129006],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 250 MG TABLET [20943],6068728201 [292525],NDC,BOTH,1,EA ,27.56,23.15
AZITHROMYCIN 250 MG TABLET [20943],6068728211 [292526],NDC,BOTH,1,EA ,27.56,23.15
AZITHROMYCIN 250 MG TABLET [20943],6233225130 [327649],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 250 MG TABLET [20943],6818016006 [282610],NDC,BOTH,1,EA ,50.66,42.56
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],0069315083 [5339],NDC,BOTH,1,EA ,47.51,39.91
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],0069315084 [232500],NDC,BOTH,1,EA ,47.51,39.91
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],5011179478 [149448],NDC,BOTH,1,EA ,79.54,66.81
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],5515017410 [280458],NDC,BOTH,1,EA ,71.66,60.2
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6050560764 [200001],NDC,BOTH,1,EA ,128.63,108.05
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6275651240 [265731],NDC,BOTH,1,EA ,46.99,39.47
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6275651244 [245322],NDC,BOTH,1,EA ,46.99,39.47
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6275651244 [245322],NDC,BOTH,5,ME,46.99,39.47
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6275651244 [245322],NDC,BOTH,500,ME,46.99,39.47
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6332339801 [329013],NDC,BOTH,1,EA ,58.01,48.73
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6332339810 [131791],NDC,BOTH,1,EA ,58.01,48.73
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6332339814 [257015],NDC,BOTH,1,EA ,27.3,22.93
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6332339841 [331449],NDC,BOTH,1,EA ,27.3,22.93
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6745786000 [325331],NDC,BOTH,1,EA ,46.99,39.47
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],6745786050 [325332],NDC,BOTH,1,EA ,46.99,39.47
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],7043601982 [312395],NDC,BOTH,1,EA ,112.61,94.59
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],7086010010 [294202],NDC,BOTH,1,EA ,39.11,32.85
AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION [21063],7086010041 [316013],NDC,BOTH,1,EA ,39.11,32.85
AZITHROMYCIN 600 MG TABLET [17387],5011178910 [295952],NDC,BOTH,1,EA ,121.54,102.09
AZITHROMYCIN 600 MG TABLET [17387],5976230801 [129009],NDC,BOTH,1,EA ,121.28,101.87
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],0003256016 [191780],NDC,BOTH,1,EA ,182.18,153.03
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],0409082901 [347040],NDC,BOTH,1,EA ,207.11,173.97
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],0409082911 [347041],NDC,BOTH,1,EA ,207.11,173.97
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340101 [342145],NDC,BOTH,1,EA ,226.54,190.29
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340120 [200234],NDC,BOTH,1,EA ,226.54,190.29
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340124 [257016],NDC,BOTH,1,EA ,171.41,143.99
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340141 [345405],NDC,BOTH,1,EA ,171.41,143.99
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340141 [345405],NDC,BOTH,1,GM,171.41,143.99
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340141 [345405],NDC,BOTH,1000,ME,171.41,143.99
AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],6332340141 [345405],NDC,BOTH,30,ME,342.83,287.97
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],0003257016 [191781],NDC,BOTH,1,EA ,274.84,230.86
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],0409083001 [347042],NDC,BOTH,1,EA ,307.91,258.65
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],0409083011 [347043],NDC,BOTH,1,EA ,307.91,258.65
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340201 [342146],NDC,BOTH,1,EA ,347.29,291.72
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340220 [200235],NDC,BOTH,1,EA ,347.29,291.72
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340224 [257017],NDC,BOTH,1,EA ,258.83,217.41
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340224 [257017],NDC,BOTH,2,GM,258.83,217.41
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340224 [257017],NDC,BOTH,2000,ME,258.83,217.41
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340230 [274849],NDC,BOTH,1,EA ,347.29,291.72
AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],6332340241 [346178],NDC,BOTH,1,EA ,258.83,217.41
BACITRACIN (BACITRACIN ZINC) 500 UNIT/GRAM TOPICAL OINTMENT WRAPPER [408850],0713028031 [24517],NDC,BOTH,28.4,GM,22.58,18.96
BACITRACIN (BACITRACIN ZINC) 500 UNIT/GRAM TOPICAL OINTMENT WRAPPER [408850],4580206001 [47855],NDC,BOTH,14,GM,23.63,19.85
BACITRACIN (BACITRACIN ZINC) 500 UNIT/GRAM TOPICAL OINTMENT WRAPPER [408850],4580206003 [47856],NDC,BOTH,28,GM,34.39,28.89
BACITRACIN (BACITRACIN ZINC) 500 UNIT/GRAM TOPICAL OINTMENT WRAPPER [408850],4934815472 [49192],NDC,BOTH,28.4,GM,21,17.64
BACITRACIN (BACITRACIN ZINC) 500 UNIT/GRAM TOPICAL OINTMENT WRAPPER [408850],5167220752 [124900],NDC,BOTH,28.4,GM,46.73,39.25
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],0904667967 [310742],NDC,BOTH,1,EA ,2.63,2.21
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],0904702367 [329441],NDC,BOTH,1,EA ,2.63,2.21
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],0904880467 [332475],NDC,BOTH,1,EA ,2.63,2.21
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],4580206000 [341694],NDC,BOTH,1,EA ,2.89,2.43
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],4580206070 [47858],NDC,BOTH,1,EA ,2.89,2.43
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],5789611109 [328900],NDC,BOTH,1,EA ,1.58,1.32
BACITRACIN (BACITRACIN/ZINC) 500 UNIT/GRAM TOPICAL PACKET WRAPPER [408128685],5789611114 [328901],NDC,BOTH,1,EA ,1.58,1.32
BACITRACIN 500 UNIT/GRAM EYE OINTMENT [852],0574402235 [246948],NDC,BOTH,3.5,GM,467.51,392.71
BACITRACIN RIVA SYRINGE [408031],00000000380 [285273],NDC,BOTH,10,ML,95.29,80.04
BACITRACIN RIVA SYRINGE [408031],00000000380 [285273],NDC,BOTH,25000,UN,95.29,80.04
BACITRACIN RIVA SYRINGE [408031],00000000380 [285273],NDC,BOTH,50000,UN,138.34,116.2
BACITRACIN RIVA SYRINGE [408031],00000000380 [285273],NDC,BOTH,75000,UN,129.68,108.93
BACITRACIN RIVA SYRINGE [408031],00000000381 [285274],NDC,BOTH,20,ML,138.34,116.2
BACITRACIN RIVA SYRINGE [408031],00000000382 [285275],NDC,BOTH,30,ML,181.65,152.59
BACLOFEN 10 MG TABLET [860],0172409660 [10987],NDC,BOTH,1,EA ,16.28,13.67
BACLOFEN 10 MG TABLET [860],0603240621 [123753],NDC,BOTH,1,EA ,16.28,13.67
BACLOFEN 10 MG TABLET [860],0904647561 [284950],NDC,BOTH,1,EA ,3.41,2.87
BACLOFEN 10 MG TABLET [860],1671407104 [187143],NDC,BOTH,1,EA ,16.28,13.67
BACLOFEN 10 MG TABLET [860],5281732010 [303570],NDC,BOTH,1,EA ,16.28,13.67
BACLOFEN 10 MG TABLET [860],6373947910 [206554],NDC,BOTH,1,EA ,3.68,3.09
BALANCED SALT SOLUTION COMBINATION NO.2 INTRAOCULAR IRRIGATION [129309],0065079515 [4871],NDC,BOTH,15,ML,79.8,67.03
BALANCED SALT SOLUTION COMBINATION NO.2 INTRAOCULAR IRRIGATION [129309],0065079550 [4874],NDC,BOTH,500,ML,196.09,164.71
BALANCED SALT SOLUTION NONSURGICAL NO.3 EYE WASH [10780],0065053001 [4844],NDC,BOTH,30,ML,147,123.48
BALSAM PERUCASTOR OIL TOPICAL OINTMENT [180277],5898078021 [189941],NDC,BOTH,56.7,GM,196.09,164.71
BALSAM PERUCASTOR OIL TOPICAL OINTMENT [180277],7583413960 [314674],NDC,BOTH,60,GM,196.09,164.71
BARICITINIB 1 MG TABLET [183710],0002473230 [323950],NDC,BOTH,1,EA ,375.64,315.54
BARICITINIB 2 MG TABLET [178609],0002418230 [304698],NDC,BOTH,1,EA ,375.64,315.54
BCOMPLEX WITH VITAMIN C TABLET [807],1191703949 [111448],NDC,BOTH,1,EA ,1.58,1.32
BCOMPLEX WITH VITAMIN C TABLET [807],8068112600 [330168],NDC,BOTH,1,EA ,1.58,1.32
BELANTAMAB MAFODOTINBLMF 100 MG INTRAVENOUS SOLUTION [186215],0173089601 [330816],NDC,BOTH,1,EA ,13621.39,11441.97
BELANTAMAB MAFODOTINBLMF 100 MG INTRAVENOUS SOLUTION [186215],0173089601 [330816],NDC,BOTH,1.9,ME,16754.06,14073.41
BELATACEPT 250 MG INTRAVENOUS SOLUTION [110675],0003037113 [209225],NDC,BOTH,10,ML,3323.51,2791.75
BELATACEPT 250 MG INTRAVENOUS SOLUTION [110675],0003037113 [209225],NDC,BOTH,5,ME,4293.98,3606.94
BELIMUMAB 120 MG INTRAVENOUS SOLUTION [108842],4940110101 [205801],NDC,BOTH,120,ME,1961.14,1647.36
BELIMUMAB 400 MG INTRAVENOUS SOLUTION [108843],4940110201 [205802],NDC,BOTH,1,EA ,5222.44,4386.85
BELIMUMAB 400 MG INTRAVENOUS SOLUTION [108843],4940110201 [205802],NDC,BOTH,10,ME,8486.36,7128.54
BENDAMUSTINE 25 MG/ML INTRAVENOUS SOLUTION [168989],4236752025 [306482],NDC,BOTH,4,ML,8688.75,7298.55
BENDAMUSTINE 25 MG/ML INTRAVENOUS SOLUTION [168989],6345934804 [282020],NDC,BOTH,4,ML,8688.75,7298.55
BENDAMUSTINE 25 MG/ML INTRAVENOUS SOLUTION [168989],6345934804 [282020],NDC,BOTH,90,ME,13293.79,11166.78
BENRALIZUMAB 30 MG/ML SUBCUTANEOUS SYRINGE [177646],0310173030 [300588],NDC,BOTH,30,ME,10219.65,8584.51
BENZETHONIUM CHLORIDE 0.2 % TOPICAL FILMFORMING LIQUID [9741],1686444002 [306391],NDC,BOTH,10,ML,16.28,13.67
BENZETHONIUM CHLORIDE 0.2 % TOPICAL FILMFORMING LIQUID [9741],5140900700 [306947],NDC,BOTH,10,ML,15.49,13.01
BENZOCAINE 10 % ORAL MUCOSAL LIQUID [81719],0573021341 [146058],NDC,BOTH,12,ML,31.24,26.24
BENZOCAINE 15 MGMENTHOL 3.6 MG LOZENGES [94141],0904625549 [209724],NDC,BOTH,18,EA ,15.49,13.01
BENZOCAINE 15 MGMENTHOL 3.6 MG LOZENGES [94141],7031246129 [275770],NDC,BOTH,18,EA ,12.6,10.58
BENZOCAINE 20 % MUCOSAL AEROSOL SPRAY [19696],0283067902 [16452],NDC,BOTH,57,GM,158.03,132.74
BENZOCAINE 20 % MUCOSAL GEL [19691],00000000414 [285265],NDC,BOTH,11.9,GM,34.13,28.67
BENZOCAINE 20 % ORAL MUCOSAL LIQUID [127255],0573021541 [129574],NDC,BOTH,12,ML,35.7,29.99
BENZOCAINE 20 % ORAL MUCOSAL LIQUID [127255],5002443201 [345781],NDC,BOTH,12,ML,27.83,23.37
BENZOCAINE 20 % TOPICAL AEROSOL [19677],6373637882 [90237],NDC,BOTH,57,GM,30.45,25.58
BENZOCAINE 20 % TOPICAL OINTMENT [40267],6373603751 [90230],NDC,BOTH,28,GM,30.45,25.58
BENZOCAINE 20 %MENTHOL 0.5 % TOPICAL AEROSOL [28048],1686468001 [306394],NDC,BOTH,78,GM,37.54,31.53
BENZOCAINE 20 %MENTHOL 0.5 % TOPICAL AEROSOL [28048],1686468002 [300819],NDC,BOTH,56,GM,35.44,29.77
BENZOCAINE 20 %MENTHOL 0.5 % TOPICAL AEROSOL [28048],1686468003 [337966],NDC,BOTH,85,GM,43.31,36.38
BENZOCAINE 20 %MENTHOL 0.5 % TOPICAL AEROSOL [28048],5140900722 [299927],NDC,BOTH,78,GM,30.45,25.58
BENZOCAINE 6 MGMENTHOL 10 MG LOZENGES [41085],7811201106 [120507],NDC,BOTH,18,EA ,27.3,22.93
BENZOCAINEBENZETHONIUM 20 %0.2 % TOPICAL AEROSOL [24902],1686467001 [306393],NDC,BOTH,78,GM,1.58,1.32
BENZOCAINEBENZETHONIUM 20 %0.2 % TOPICAL AEROSOL [24902],5140900724 [299928],NDC,BOTH,78,GM,31.5,26.46
BENZOCAINEMENTHOL LOZENGES WRAPPER [40894141],0904625549 [209724],NDC,BOTH,18,EA ,15.49,13.01
BENZOCAINEMENTHOL LOZENGES WRAPPER [40894141],7031246129 [275770],NDC,BOTH,18,EA ,12.6,10.58
BENZOCAINEMENTHOL LOZENGES WRAPPER [40894141],7700000006 [356211],NDC,BOTH,6,EA ,9.19,7.72
BENZOCAINEMENTHOL LOZENGES WRAPPER [40894141],7700000009 [287728],NDC,BOTH,9,EA ,9.71,8.16
BENZOCAINEMENTHOL LOZENGES WRAPPER [40894141],7811201106 [120507],NDC,BOTH,18,EA ,27.3,22.93
BENZOINALOE VERASTORAXTOLU BALSAM 10 %2 %8 %4 % TOPICAL TINCTURE [130592],0395024392 [18183],NDC,BOTH,59,ML,64.84,54.46
BENZONATATE 100 MG CAPSULE [988],0904656461 [308170],NDC,BOTH,1,EA ,3.94,3.31
BENZONATATE 100 MG CAPSULE [988],4280671401 [317942],NDC,BOTH,1,EA ,16.28,13.67
BENZONATATE 100 MG CAPSULE [988],5122401060 [318413],NDC,BOTH,1,EA ,14.96,12.57
BENZONATATE 100 MG CAPSULE [988],5766413388 [177502],NDC,BOTH,1,EA ,6.3,5.29
BENZONATATE 100 MG CAPSULE [988],6068734601 [301492],NDC,BOTH,1,EA ,4.99,4.19
BENZONATATE 100 MG CAPSULE [988],6068734611 [301493],NDC,BOTH,1,EA ,4.99,4.19
BENZONATATE 100 MG CAPSULE [988],6373902910 [293128],NDC,BOTH,1,EA ,3.68,3.09
BENZONATATE 100 MG CAPSULE [988],6838224701 [152159],NDC,BOTH,1,EA ,6.83,5.73
BENZONATATE 100 MG CAPSULE [988],7120585310 [349391],NDC,BOTH,1,EA ,3.68,3.09
BENZOYL PEROXIDE 10 % TOPICAL GEL [989],0536105656 [276791],NDC,BOTH,42.5,GM,45.15,37.93
BENZTROPINE 0.5 MG TABLET [998],6068735601 [309672],NDC,BOTH,1,EA ,3.94,3.31
BENZTROPINE 0.5 MG TABLET [998],6068735611 [309673],NDC,BOTH,1,EA ,3.94,3.31
BENZTROPINE 1 MG TABLET [999],6068736801 [303866],NDC,BOTH,1,EA ,3.94,3.31
BENZTROPINE 1 MG TABLET [999],6068736811 [303867],NDC,BOTH,1,EA ,3.94,3.31
BENZTROPINE 1 MG TABLET [999],7638510401 [253168],NDC,BOTH,1,EA ,2.89,2.43
BENZTROPINE 1 MG/ML INJECTION SOLUTION [9259],0143972905 [185671],NDC,BOTH,2,ML,296.1,248.72
BENZYLPENICILLOYL POLYLYSINE 0.25 ML INTRADERMAL INJECTION SOLUTION [9260],4947100105 [188587],NDC,BOTH,0.25,ML,703.76,591.16
BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION [9266],0085432001 [294888],NDC,BOTH,5,ML,291.64,244.98
BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION [9266],0517072001 [193225],NDC,BOTH,5,ML,401.63,337.37
BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION [9266],5175450601 [313893],NDC,BOTH,5,ML,311.85,261.95
BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION [9266],7820611801 [343090],NDC,BOTH,5,ML,305.81,256.88
BETAMETHASONE DIPROPIONATE 0.05 % TOPICAL OINTMENT [1029],0168005615 [10639],NDC,BOTH,15,GM,242.81,203.96
BETAMETHASONE VALERATE 0.1 % LOTION [1032],5487900460 [220669],NDC,BOTH,60,ML,285.08,239.46
BETAMETHASONE VALERATE 0.1 % TOPICAL CREAM [1031],0168004015 [10621],NDC,BOTH,15,GM,146.48,123.04
BETAMETHASONE VALERATE 0.1 % TOPICAL CREAM [1031],0168004046 [10622],NDC,BOTH,45,GM,225.49,189.41
BETAMETHASONE VALERATE 0.1 % TOPICAL CREAM [1031],0713032615 [297386],NDC,BOTH,15,GM,145.43,122.16
BETAMETHASONE VALERATE 0.1 % TOPICAL OINTMENT [1033],0168003315 [10611],NDC,BOTH,15,GM,132.3,111.13
BETAXOLOL 0.5 % EYE DROPS [9268],1747870511 [39289],NDC,BOTH,10,ML,465.41,390.95
BETHANECHOL CHLORIDE 10 MG TABLET [1043],0832051100 [120958],NDC,BOTH,1,EA ,13.13,11.03
BETHANECHOL CHLORIDE 10 MG TABLET [1043],0832051101 [120959],NDC,BOTH,1,EA ,13.13,11.03
BETHANECHOL CHLORIDE 10 MG TABLET [1043],0832051189 [162902],NDC,BOTH,1,EA ,13.13,11.03
BETHANECHOL CHLORIDE 10 MG TABLET [1043],1013551601 [155236],NDC,BOTH,1,EA ,8.66,7.28
BETHANECHOL CHLORIDE 10 MG TABLET [1043],6516257210 [166990],NDC,BOTH,1,EA ,10.5,8.82
BETHANECHOL CHLORIDE 25 MG TABLET [1044],0832051201 [120961],NDC,BOTH,1,EA ,17.59,14.77
BETHANECHOL CHLORIDE 25 MG TABLET [1044],0832051289 [162903],NDC,BOTH,1,EA ,17.59,14.77
BETHANECHOL CHLORIDE 25 MG TABLET [1044],6516257310 [166991],NDC,BOTH,1,EA ,13.91,11.69
BEVACIZUMAB 25 MG/ML INTRAVENOUS SOLUTION [108065],5024206001 [101329],NDC,BOTH,4,ML,2799.3,2351.41
BEVACIZUMAB 25 MG/ML INTRAVENOUS SOLUTION [108065],5024206001 [101329],NDC,BOTH,5,ME,9237.11,7759.17
BEVACIZUMAB 25 MG/ML INTRAVENOUS SOLUTION [108065],5024206010 [318346],NDC,BOTH,4,ML,2799.3,2351.41
BEVACIZUMAB 25 MG/ML INTRAVENOUS SOLUTION [108065],5024206101 [108266],NDC,BOTH,16,ML,9080.93,7627.98
BEVACIZUMAB 25 MG/ML INTRAVENOUS SOLUTION [108065],5024206110 [318347],NDC,BOTH,16,ML,9080.93,7627.98
BEVACIZUMABAWWB 25 MG/ML INTRAVENOUS SOLUTION [182314],5551320601 [318562],NDC,BOTH,100,ME,2450.44,2058.37
BEVACIZUMABAWWB 25 MG/ML INTRAVENOUS SOLUTION [182314],5551320701 [318563],NDC,BOTH,16,ML,7950.34,6678.28
BEVACIZUMABAWWB 25 MG/ML INTRAVENOUS SOLUTION [182314],5551320701 [318563],NDC,BOTH,5,ME,6559.09,5509.63
BEZLOTOXUMAB 25 MG/ML INTRAVENOUS SOLUTION [173396],0006302500 [289172],NDC,BOTH,10,ME,7036.31,5910.5
BEZLOTOXUMAB 25 MG/ML INTRAVENOUS SOLUTION [173396],0006302500 [289172],NDC,BOTH,40,ML,10824.71,9092.76
BEZLOTOXUMAB 25 MG/ML INTRAVENOUS SOLUTION [173396],0006302501 [294810],NDC,BOTH,40,ML,10824.71,9092.76
BICALUTAMIDE 50 MG TABLET [15746],0904601946 [178811],NDC,BOTH,1,EA ,111.83,93.93
BICALUTAMIDE 50 MG TABLET [15746],1671481601 [308380],NDC,BOTH,1,EA ,123.38,103.64
BICALUTAMIDE 50 MG TABLET [15746],1672902310 [180074],NDC,BOTH,1,EA ,124.16,104.3
BICALUTAMIDE 50 MG TABLET [15746],4161648583 [181984],NDC,BOTH,1,EA ,125.21,105.18
BICALUTAMIDE 50 MG TABLET [15746],6042917730 [274356],NDC,BOTH,1,EA ,7.88,6.62
BICTEGRAVIR 50 MGEMTRICITABINE 200 MGTENOFOVIR ALAFENAM 25 MG TABLET [178211],6195825011 [301545],NDC,BOTH,1,EA ,535.76,450.04
BICTEGRAVIR 50 MGEMTRICITABINE 200 MGTENOFOVIR ALAFENAM 25 MG TABLET [178211],6195825013 [338495],NDC,BOTH,1,EA ,535.76,450.04
BIMATOPROST 0.03 % EYE DROPS [29904],6818042901 [275429],NDC,BOTH,2.5,ML,531.56,446.51
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],0059705216 [313406],NDC,BOTH,1,EA ,6.3,5.29
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],0574705012 [21722],NDC,BOTH,1,EA ,2.89,2.43
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],0574705050 [21723],NDC,BOTH,1,EA ,2.1,1.76
